Company name,Symbol
MOQ LIMITED,MOQ
1-PAGE LIMITED,1PG
1300 SMILES LIMITED,ONT
1ST GROUP LIMITED,1ST
333D LIMITED,T3D
360 CAPITAL GROUP,TGP
360 CAPITAL TOTAL RETURN FUND,TOT
3D OIL LIMITED,TDO
3D RESOURCES LIMITED,DDD
3P LEARNING LIMITED..,3PL
4DS MEMORY LIMITED,4DS
5G NETWORKS LIMITED,5GN
88 ENERGY LIMITED,88E
8COMMON LIMITED,8CO
8I HOLDINGS LTD,8IH
8IP EMERGING COMPANIES LIMITED,8EC
9 SPOKES INTERNATIONAL LIMITED,9SP
99 WUXIAN LIMITED,NNW
A-CAP RESOURCES LIMITED,ACB
A.C.N. 004 410 833 LIMITED,ARI
A1 INVESTMENTS & RESOURCES LTD,AYI
ABACUS PROPERTY GROUP,ABP
ABERDEEN LEADERS LIMITED,ALR
ABILENE OIL AND GAS LIMITED,ABL
ABM RESOURCES NL,ABU
ABSOLUTE EQUITY PERFORMANCE FUND LIMITED,AEG
ABUNDANT PRODUCE LIMITED,ABT
ACACIA COAL LIMITED,AJC
ACADEMIES AUSTRALASIA GROUP LIMITED,AKG
ACCELERATE RESOURCES LIMITED,AX8
ACCENT GROUP LIMITED,AX1
ACCENT RESOURCES NL,ACS
ACONEX LIMITED,ACX
ACORN CAPITAL INVESTMENT FUND LIMITED,ACQ
ACRUX LIMITED,ACR
ACTINOGEN MEDICAL LIMITED,ACW
ACTIVEX LIMITED,AIV
ACTIVISTIC LIMITED,ACU
ADACEL TECHNOLOGIES LIMITED,ADA
ADAIRS LIMITED,ADH
ADALTA LIMITED,1AD
ADAVALE RESOURCES LIMITED,ADD
ADCORP AUSTRALIA LIMITED,AAU
ADELAIDE BRIGHTON LIMITED,ABC
ADHERIUM LIMITED,ADR
ADMEDUS LTD,AHZ
ADMIRALTY RESOURCES NL.,ADY
ADRIATIC METALS PLC,ADT
ADSLOT LTD,ADJ
ADVANCE NANOTEK LIMITED,ANO
ADVANCED BRAKING TECHNOLOGY LTD,ABV
ADVANCED SHARE REGISTRY LIMITED,ASW
ADX ENERGY LTD,ADX
AEERIS LTD,AER
AEON METALS LIMITED.,AML
AERIS ENVIRONMENTAL LTD,AEI
AERIS RESOURCES LIMITED,AIS
AFRICAN ENERGY RESOURCES LIMITED,AFR
AFT CORPORATION LIMITED,AFT
AFT PHARMACEUTICALS LIMITED,AFP
AFTERPAY TOUCH GROUP LIMITED,APT
AGL ENERGY LIMITED.,AGL
AGRICULTURAL LAND TRUST,AGJ
AGRIMIN LIMITED,AMN
AGUIA RESOURCES LIMITED,AGR
AHALIFE HOLDINGS LIMITED,AHL
AIC RESOURCES LIMITED,A1C
AIMS PROPERTY SECURITIES FUND,APW
AINSWORTH GAME TECHNOLOGY LIMITED,AGI
AIR NEW ZEALAND LIMITED,AIZ
"AIRXPANDERS, INC.",AXP
AJ LUCAS GROUP LIMITED,AJL
ALACER GOLD CORP.,AQG
ALARA RESOURCES LIMITED,AUQ
ALCHEMIA LIMITED,ACL
ALCHEMY RESOURCES LIMITED,ALY
ALCIDION GROUP LIMITED,ALC
ALDERAN RESOURCES LIMITED,AL8
ALE PROPERTY GROUP,LEP
ALEXIUM INTERNATIONAL GROUP LIMITED,AJX
ALGAE.TEC LIMITED,AEB
ALICANTO MINERALS LIMITED,AQI
ALICE QUEEN LIMITED,AQX
ALKANE RESOURCES LIMITED,ALK
ALLEGIANCE COAL LIMITED,AHQ
ALLEGRA ORTHOPAEDICS LIMITED,AMT
ALLIANCE AVIATION SERVICES LIMITED,AQZ
ALLIANCE RESOURCES LIMITED,AGS
ALLIGATOR ENERGY LIMITED,AGE
ALLOY RESOURCES LIMITED,AYR
ALS LIMITED,ALQ
ALT RESOURCES LIMITED,ARS
ALTA ZINC LIMITED,AZI
