Company name,Symbol
1000MERCIS,ALMIL
2VALORISE,VALOR
4SERVICE CLOUD,MLOVE
A TOUTE VITESSE,MLATV
A.S.T. GROUPE,ASP
A2MICILE EUROPE,ALA2M
AALBERTS INDUSTR,AALB
AB INBEV,ABI
AB SCIENCE,AB
ABC ARBITRAGE,ABCA
ABC ORTHODONTICS,MLABC
ABCARBIBSAA29JUN18,ABCBS
ABEO,ABEO
ABIVAX,ABVX
ABLYNX,ABLX
ABN AMRO Group,ABN
ABO GROUP,ABO
ACACIA PHARMA,ACPH
ACANTHE DEV.,ACAN
ACCELL GROUP,ACCEL
ACCENTIS,ACCB
ACCOR,AC
ACCOR NV18,ACNV
ACCSYS,AXS
ACEP FRANCE,MLACP
ACHETER-LOUER.FR,ALALO
ACKERMANS V.HAAREN,ACKB
ACTEOS,EOS
ACTIA GROUP,ATI
ACTIPLAY (GROUPE),ALACT
ACTIVIUM GROUP,MLACT
ADA,ALADA
ADC SIIC,ALDV
ADEUNIS,ALARF
ADL PARTNER,ALP
ADOCIA,ADOC
ADOMOS,ALADO
ADOMOS BS,ALABS
ADP,ADP
ADTHINK MEDIA,ALADM
ADUX,ADUX
ADVENIS,ADV
ADVICENNE,ADVIC
ADVINI,ADVI
AEDIFICA,AED
AEGON,AGN
AFFINE R.E.,IML
AFONE PARTICIP.,AFO
AFRIQUE TELECOM,MLAFT
AG3I,MLAGI
AGEAS,AGS
AGFA-GEVAERT,AGFB
AGROGENERATION,ALAGR
AGROGENERATION NV1,AGRNV
AGTA RECORD,AGTA
AGUAS DA CURIA,CUR
AHOLD DEL,AD
AIR FRANCE -KLM,AF
AIR LIQUIDE,AI
AIR MARINE,MLAIM
AIRBUS,AIR
AJAX,AJAX
AKKA TECHNOLOGIES,AKA
AKZO NOBEL,AKZA
ALBIOMA,ABIO
ALD,ALD
ALES GROUPE,ALPHY
ALFEN,ALFEN
ALPES (COMPAGNIE),CDA
ALPHA MOS,ALM
ALPHA MOS DS,ALMDS
ALSTOM,ALO
ALSTOM NV18,ALONV
ALTAMIR,LTA
ALTAREA,ALTA
ALTAREIT,AREIT
ALTEN,ATE
ALTICE,ATC
ALTICE B,ATCB
ALTRAN TECHN.,ALT
ALTRI SGPS,ALTR
ALTUR INVEST.,ALTUR
ALUMEXX N.V.,ALX
ALVEEN,MLALV
AMATHEON AGRI,MLAAH
AMG,AMG
AMOEBA,AMEBA
AMPLITUDE SURGICAL,AMPLI
AMSTERDAM COMMOD.,ACOMO
AMUNDI,AMUN
AND INTERNATIONAL,AND
