Company name,Symbol
BARCLAYS BANK PLC 9% PERM INT BEARING CAP BDS GBP(VAR)(BR),06GH
BORGOSESIA EUR1.2,0AFL
BORGOSESIA DI RISP EUR1.2,0AFM
BAYWA AG NPV(VINK),0AH7
CARLSBERG `A`DKK20,0AI3
CARLSBERG `B`DKK20,0AI4
FUCHS PETROLUB AG NPV,0B4R
GALP ENERGIA SGPS EUR1 CLS`B`,0B67
IMPREGILO SPA NPV,0BJP
KESKO OYJ NPV SER`A`,0BNS
KESKO OYJ NPV SER`B`,0BNT
KSB AG NON VTG PRF,0BQE
OBERBANK AG NPV,0C6Y
QSC AG NPV,0CHZ
RAISIO YHTYMA OYJ NPV(CNV)`V`,0CIJ
STORA ENSO OYJ SER`R`NPV,0CXC
FINANCIERE DE TUBIZE NPV,0D53
AF GRUPPEN ASA NOK0.05,0DH7
CARL ZEISS MEDITEC AG NPV,0DHC
AUTOGRILL SPA EUR0.52,0DHJ
AGRANA BETEILIGUNGS AG NPV,0DHR
ALM. BRAND DKK80,0DJI
ALMA MEDIA CORP NPV,0DJN
ALTRI SGPS S.A. EUR0.25,0DJV
AMADEUS AG PERSONALDIENSTLEI NPV,0DK9
AEDIFICA NPV,0DKX
AMSTERDAM COMMODITIES NV EUR0.45,0DLI
AAREAL BANK EUR26,0DLT
ARTPRICE.COM EUR1,0DM3
ASCOPIAVE SPA EUR1,0DME
A.S.G.(ANDY SPYROU)GROUP EUR0.35,0DMM
ASTALDI EUR2,0DMQ
ASTROC MEDITERRANEO SA EUR0.2,0DMT
ASSYSTEM SA EUR1,0DMV
ATOS ORIGIN EUR1,0DNH
AUSTEVOLL SEAFOOD ASA NOK0.50,0DNW
AUXIMINES NEW NPV(POST SPLIT),0DNZ
AVALON ENTERPRISE AB SER`B`NPV,0DO1
AVACOM NET EUR0.17,0DO6
BIOFRONTERA AG NPV,0DOL
BANK HANDLOWY W WARSZAWIE PLN4,0DOS
BANK PEKAO SA PLN1,0DP0
BASWARE OYJ NPV,0DP4
BANCA TRANSILVANIA CLUJ RON1,0DP9
BAVARIAN NORDIC RESEARCH INDSTITUTE DKK10,0DPB
BPI SOCIEDADE GESTORA PARTIC SOCIAI EUR1(REGD),0DPG
BECHTLE AG NPV,0DPM
BELGACOM NPV,0DPU
BEIERSDORF AG NPV,0DQ7
