Company name,Symbol
"SHANGHAI PUDONG DEVELOPMENT BANK CO., LTD.",600000
"Guangzhou Baiyun International Airport Co.,ltd.",600004
"Dongfeng  Automobile  Co.,LTD",600006
China World Trade Center Company Ltd.,600007
"BEIJING CAPITAL CO.,LTD",600008
"Shanghai International Airport Co., Ltd.",600009
"Inner Mongolia BaoTou Steel Union Co.,Ltd.",600010
"Huaneng Power International, INC.",600011
Anhui Expressway Company Limited,600012
"HUA XIA BANK CO., Limited",600015
CHINA MINSHENG BANK,600016
"RIZHAO PORT CO.,LTD.",600017
"Shanghai International Port (Group) Co., Ltd",600018
"Baoshan Iron & Steel Co., Ltd.",600019
Henan Zhongyuan Expressway Company Limited,600020
SHANGHAI ELECTRIC POWER COMPANY LIMITED,600021
www.sdsteel.cc,600022
"Zhejiang Zheneng Electric Power Co.,Ltd",600023
http://www.hnlcj.cn,600025
"COSCO SHIPPING Energy Transportation Co., Ltd.",600026
Huadian Power International Corporation Limited,600027
China Petroleum and Chemical Corporation,600028
China Southern Airlines Company Limited,600029
CITIC Securities Company Limited,600030
"SANY HEAVY INDUSTRY CO.,LTD",600031
Fujian Expressway Development Company Limited,600033
"Hubei Chutian Smart Communication Co.,Ltd.",600035
"China Merchants Bank Co.,Limited",600036
"Beijing Gehua CATV Network Co., LTD.",600037
 AVICOPTER PLC,600038
"SICHUAN ROAD & BRIDGE CO.,LTD",600039
www.gzpoly.com;www.polycn.com,600048
CHINA UNITED NETWORK COMMUNICATIONS  LIMITED,600050
"NINGBO UNITED GROUP CO.,LTD.",600051
"Zhejiang Guangsha Co.,Ltd.",600052
"Kunwu Jiuding Investment Holdings CO., Ltd",600053
"Huangshan Tourism Development Co.,Ltd.",600054
"Beijing Wandong Medical Technology Co., Ltd.",600055
"CHINA MEHECO CO., LTD.",600056
"XIAMEN XIANGYU CO., LTD.",600057
"MINMETALS DEVELOPMENT CO., LTD.",600058
ZheJiang GuYueLongShan ShaoXing Wine Co.LTD,600059
www.hisense.com,600060
"SDIC Capital Co., Ltd",600061
"CHINA RESOURCES DOUBLE??CRANE PHARMACEUTICAL CO.,LTD.",600062
ANHUI WANWEI UPDATED HIGH-TECH MATERIAL INDUSTRY COMPANY LIMITED,600063
NANJING GAOKE COMPANY LIMITED,600064
